Scenario,Year,Region,Number of Vehicles
BAT,2025,OR,187560.8155
BAT,2026,OR,207285.1259
BAT,2027,OR,226975.2638
BAT,2028,OR,246091.7009
BAT,2029,OR,264760.0081
BAT,2030,OR,283475.3006
BAT,2031,OR,302193.7803
BAT,2032,OR,320109.6337
BAT,2033,OR,337286.9576
BAT,2034,OR,353447.4611
BAT,2035,OR,368228.8187
BAT,2036,OR,383454.1038
BAT,2037,OR,396935.9091
BAT,2038,OR,408642.7101
BAT,2039,OR,419039.0648
BAT,2040,OR,428277.0611
BAT,2041,OR,437995.4369
BAT,2042,OR,446906.8701
BAT,2043,OR,455294.1867
BAT,2044,OR,463271.9825
BAT,2045,OR,470753.7751
BAT,2046,OR,478266.5106
BAT,2047,OR,485809.1686
BAT,2048,OR,493107.5585
BAT,2049,OR,500202.8311
BAT,2050,OR,507417.3347
BAT,2020,WA,221476.2109
BAT,2021,WA,238225.9471
BAT,2022,WA,259378.1963
BAT,2023,WA,284539.5406
BAT,2024,WA,312285.35
BAT,2025,WA,343380.5699
BAT,2026,WA,379491.2304
BAT,2027,WA,415539.3292
BAT,2028,WA,450537.1139
BAT,2029,WA,484714.4764
BAT,2030,WA,518977.8579
BAT,2031,WA,553247.0746
BAT,2032,WA,586046.8678
BAT,2033,WA,617494.5839
BAT,2034,WA,647080.7365
BAT,2035,WA,674141.9912
BAT,2036,WA,702015.9746
BAT,2037,WA,726698.049
BAT,2038,WA,748130.5001
BAT,2039,WA,767163.8264
BAT,2040,WA,784076.4657
BAT,2041,WA,801868.5691
BAT,2042,WA,818183.3467
BAT,2043,WA,833538.5879
BAT,2044,WA,848144.091
BAT,2045,WA,861841.5268
BAT,2046,WA,875595.6117
BAT,2047,WA,889404.4779
BAT,2048,WA,902766.1456
BAT,2049,WA,915755.9524
BAT,2050,WA,928964.0436
BAT,2020,ID,51181.4773
BAT,2021,ID,55052.21467
BAT,2022,ID,59940.33948
BAT,2023,ID,65754.93586
BAT,2024,ID,72166.78257
BAT,2025,ID,79352.6527
BAT,2026,ID,87697.55325
BAT,2027,ID,96027.99624
BAT,2028,ID,104115.7196
BAT,2029,ID,112013.8496
BAT,2030,ID,119931.8579
BAT,2031,ID,127851.2147
BAT,2032,ID,135430.9989
BAT,2033,ID,142698.3282
BAT,2034,ID,149535.4643
BAT,2035,ID,155789.1156
BAT,2036,ID,162230.5824
BAT,2037,ID,167934.4231
BAT,2038,ID,172887.3004
BAT,2039,ID,177285.7582
BAT,2040,ID,181194.1412
BAT,2041,ID,185305.7618
BAT,2042,ID,189075.9835
BAT,2043,ID,192624.4636
BAT,2044,ID,195999.6849
BAT,2045,ID,199165.0587
BAT,2046,ID,202343.5237
BAT,2047,ID,205534.6483
BAT,2048,ID,208622.4286
BAT,2049,ID,211624.2747
BAT,2050,ID,214676.5647
LOWRECOST,2020,CA,1132506.507
LOWRECOST,2021,CA,1218155.368
LOWRECOST,2022,CA,1326316.239
LOWRECOST,2023,CA,1454977.399
LOWRECOST,2024,CA,1596854.08
LOWRECOST,2025,CA,1755857.788
LOWRECOST,2026,CA,1940507.678
LOWRECOST,2027,CA,2124837.662
LOWRECOST,2028,CA,2303796.923
LOWRECOST,2029,CA,2478560.999
LOWRECOST,2030,CA,2653764.929
LOWRECOST,2031,CA,2828998.697
LOWRECOST,2032,CA,2996718.647
LOWRECOST,2033,CA,3157524.826
LOWRECOST,2034,CA,3308812.001
LOWRECOST,2035,CA,3447188.249
LOWRECOST,2036,CA,3589720.341
LOWRECOST,2037,CA,3715930.78
LOWRECOST,2038,CA,3825524.448
LOWRECOST,2039,CA,3922850.322
LOWRECOST,2040,CA,4009332.18
LOWRECOST,2041,CA,4100311.129
LOWRECOST,2042,CA,4183735.853
LOWRECOST,2043,CA,4262254.04
LOWRECOST,2044,CA,4336938.482
LOWRECOST,2045,CA,4406979.572
LOWRECOST,2046,CA,4477310.334
LOWRECOST,2047,CA,4547921.217
LOWRECOST,2048,CA,4616245.375
LOWRECOST,2049,CA,4682668.042
LOWRECOST,2050,CA,4750206.895
LOWRECOST,2020,OR,120974.4009
LOWRECOST,2021,OR,130123.4165
LOWRECOST,2022,OR,141677.166
LOWRECOST,2023,OR,155420.7575
LOWRECOST,2024,OR,170576.0315
LOWRECOST,2025,OR,187560.8155
LOWRECOST,2026,OR,207285.1259
LOWRECOST,2027,OR,226975.2638
LOWRECOST,2028,OR,246091.7009
LOWRECOST,2029,OR,264760.0081
LOWRECOST,2030,OR,283475.3006
LOWRECOST,2031,OR,302193.7803
LOWRECOST,2032,OR,320109.6337
LOWRECOST,2033,OR,337286.9576
LOWRECOST,2034,OR,353447.4611
LOWRECOST,2035,OR,368228.8187
LOWRECOST,2036,OR,383454.1038
LOWRECOST,2037,OR,396935.9091
LOWRECOST,2038,OR,408642.7101
LOWRECOST,2039,OR,419039.0648
LOWRECOST,2040,OR,428277.0611
LOWRECOST,2041,OR,437995.4369
LOWRECOST,2042,OR,446906.8701
LOWRECOST,2043,OR,455294.1867
LOWRECOST,2044,OR,463271.9825
LOWRECOST,2045,OR,470753.7751
LOWRECOST,2046,OR,478266.5106
LOWRECOST,2047,OR,485809.1686
LOWRECOST,2048,OR,493107.5585
LOWRECOST,2049,OR,500202.8311
LOWRECOST,2050,OR,507417.3347
LOWRECOST,2020,WA,221476.2109
LOWRECOST,2021,WA,238225.9471
LOWRECOST,2022,WA,259378.1963
LOWRECOST,2023,WA,284539.5406
LOWRECOST,2024,WA,312285.35
LOWRECOST,2025,WA,343380.5699
LOWRECOST,2026,WA,379491.2304
LOWRECOST,2027,WA,415539.3292
LOWRECOST,2028,WA,450537.1139
LOWRECOST,2029,WA,484714.4764
LOWRECOST,2030,WA,518977.8579
LOWRECOST,2031,WA,553247.0746
LOWRECOST,2032,WA,586046.8678
LOWRECOST,2033,WA,617494.5839
LOWRECOST,2034,WA,647080.7365
LOWRECOST,2035,WA,674141.9912
LOWRECOST,2036,WA,702015.9746
LOWRECOST,2037,WA,726698.049
LOWRECOST,2038,WA,748130.5001
LOWRECOST,2039,WA,767163.8264
LOWRECOST,2040,WA,784076.4657
LOWRECOST,2041,WA,801868.5691
LOWRECOST,2042,WA,818183.3467
LOWRECOST,2043,WA,833538.5879
LOWRECOST,2044,WA,848144.091
LOWRECOST,2045,WA,861841.5268
LOWRECOST,2046,WA,875595.6117
LOWRECOST,2047,WA,889404.4779
LOWRECOST,2048,WA,902766.1456
LOWRECOST,2049,WA,915755.9524
LOWRECOST,2050,WA,928964.0436
LOWRECOST,2020,ID,51181.4773
LOWRECOST,2021,ID,55052.21467
LOWRECOST,2022,ID,59940.33948
LOWRECOST,2023,ID,65754.93586
LOWRECOST,2024,ID,72166.78257
LOWRECOST,2025,ID,79352.6527
LOWRECOST,2026,ID,87697.55325
LOWRECOST,2027,ID,96027.99624
LOWRECOST,2028,ID,104115.7196
LOWRECOST,2029,ID,112013.8496
LOWRECOST,2030,ID,119931.8579
LOWRECOST,2031,ID,127851.2147
LOWRECOST,2032,ID,135430.9989
LOWRECOST,2033,ID,142698.3282
LOWRECOST,2034,ID,149535.4643
LOWRECOST,2035,ID,155789.1156
LOWRECOST,2036,ID,162230.5824
LOWRECOST,2037,ID,167934.4231
LOWRECOST,2038,ID,172887.3004
LOWRECOST,2039,ID,177285.7582
LOWRECOST,2040,ID,181194.1412
LOWRECOST,2041,ID,185305.7618
LOWRECOST,2042,ID,189075.9835
LOWRECOST,2043,ID,192624.4636
LOWRECOST,2044,ID,195999.6849
LOWRECOST,2045,ID,199165.0587
LOWRECOST,2046,ID,202343.5237
LOWRECOST,2047,ID,205534.6483
LOWRECOST,2048,ID,208622.4286
LOWRECOST,2049,ID,211624.2747
LOWRECOST,2050,ID,214676.5647
HIGHRECOST,2020,CA,1132506.507
HIGHRECOST,2021,CA,1218155.368
HIGHRECOST,2022,CA,1326316.239
HIGHRECOST,2023,CA,1454977.399
HIGHRECOST,2024,CA,1596854.08
HIGHRECOST,2025,CA,1755857.788
HIGHRECOST,2026,CA,1940507.678
HIGHRECOST,2027,CA,2124837.662
HIGHRECOST,2028,CA,2303796.923
HIGHRECOST,2029,CA,2478560.999
HIGHRECOST,2030,CA,2653764.929
HIGHRECOST,2031,CA,2828998.697
HIGHRECOST,2032,CA,2996718.647
HIGHRECOST,2033,CA,3157524.826
HIGHRECOST,2034,CA,3308812.001
HIGHRECOST,2035,CA,3447188.249
HIGHRECOST,2036,CA,3589720.341
HIGHRECOST,2037,CA,3715930.78
HIGHRECOST,2038,CA,3825524.448
HIGHRECOST,2039,CA,3922850.322
HIGHRECOST,2040,CA,4009332.18
HIGHRECOST,2041,CA,4100311.129
HIGHRECOST,2042,CA,4183735.853
HIGHRECOST,2043,CA,4262254.04
HIGHRECOST,2044,CA,4336938.482
HIGHRECOST,2045,CA,4406979.572
HIGHRECOST,2046,CA,4477310.334
HIGHRECOST,2047,CA,4547921.217
HIGHRECOST,2048,CA,4616245.375
HIGHRECOST,2049,CA,4682668.042
HIGHRECOST,2050,CA,4750206.895
HIGHRECOST,2020,OR,120974.4009
HIGHRECOST,2021,OR,130123.4165
HIGHRECOST,2022,OR,141677.166
HIGHRECOST,2023,OR,155420.7575
HIGHRECOST,2024,OR,170576.0315
HIGHRECOST,2025,OR,187560.8155
HIGHRECOST,2026,OR,207285.1259
HIGHRECOST,2027,OR,226975.2638
HIGHRECOST,2028,OR,246091.7009
HIGHRECOST,2029,OR,264760.0081
HIGHRECOST,2030,OR,283475.3006
HIGHRECOST,2031,OR,302193.7803
HIGHRECOST,2032,OR,320109.6337
HIGHRECOST,2033,OR,337286.9576
HIGHRECOST,2034,OR,353447.4611
HIGHRECOST,2035,OR,368228.8187
HIGHRECOST,2036,OR,383454.1038
HIGHRECOST,2037,OR,396935.9091
HIGHRECOST,2038,OR,408642.7101
HIGHRECOST,2039,OR,419039.0648
HIGHRECOST,2040,OR,428277.0611
HIGHRECOST,2041,OR,437995.4369
HIGHRECOST,2042,OR,446906.8701
HIGHRECOST,2043,OR,455294.1867
HIGHRECOST,2044,OR,463271.9825
