,Site1,Site2,Site3,Site4,Site5,Site6,Site7,Site8,Site9,Site10
160,9381.0,9264.0,9041.5,9229.5,8830.0,9123.0,8949.0,8749.0,9207.5,9002.0
161,9253.0,8997.0,9155.5,9285.0,8884.0,9254.5,9002.5,8681.5,9310.0,9057.0
162,9353.0,9021.0,9041.0,9161.0,8845.0,9191.5,8998.0,8831.5,9295.0,9200.0
163,9257.5,9083.0,9144.5,9321.0,8936.5,9138.5,8907.0,8744.0,9245.0,9109.5
164,9254.0,8948.5,9077.0,9306.0,8855.0,9282.5,9052.0,8784.5,9241.5,9170.0
165,9227.5,8947.5,9047.0,9192.0,8882.0,9261.0,8994.0,8790.0,9253.5,9088.0
166,9280.0,9078.5,9136.0,9368.0,8918.0,9232.0,8970.5,8977.0,9261.5,9167.5
167,9295.5,8960.0,9061.5,9280.5,8946.0,9247.0,9016.0,8885.0,9232.0,9028.0
168,9243.0,9021.0,9113.5,9215.5,8953.5,9159.0,9029.5,8697.5,9197.0,8970.5
169,9325.5,8962.5,9036.0,9326.5,9002.0,9197.5,8942.0,8719.0,9252.5,9179.5
170,9224.5,9093.5,9122.0,9241.5,8943.5,9155.5,9066.0,8779.5,9155.5,9067.0
171,9267.0,8950.0,8984.5,9230.0,8842.5,9180.5,9079.5,8780.0,9225.5,9108.5
172,9298.5,8955.5,9236.5,9369.0,8908.0,9278.0,8935.5,8815.0,9222.0,9112.5
173,9260.0,8961.0,9101.0,9163.0,8843.5,9225.5,8991.5,8815.0,9207.0,9115.5
174,9270.5,8968.5,9125.5,9212.5,8923.0,9169.0,8823.0,8860.5,9196.0,9089.5
175,9236.5,9019.5,8998.0,9298.5,8985.5,9224.5,8870.5,8770.5,9134.5,9113.5
176,9258.5,8896.0,9052.5,9183.5,8885.0,9156.0,9023.0,8704.5,9151.5,8997.0
177,9199.5,8889.5,9028.0,9285.0,8971.5,9191.0,9070.5,8668.0,9117.5,9006.5
178,9195.5,8836.5,9081.0,9161.0,8886.0,9255.0,9033.5,8727.0,9224.0,9093.5
179,9266.0,9007.5,8983.5,9209.0,8823.0,9045.5,9002.5,8724.0,9102.5,8960.5
180,9222.5,8897.5,9165.0,9253.0,8856.0,9230.5,8888.0,8729.5,9044.0,9054.5
181,9104.0,8892.5,9035.5,9244.0,8914.5,9063.5,8837.5,8716.0,9098.5,9057.5
182,9142.0,8805.5,9026.0,9351.0,9045.5,9302.0,8845.0,8748.5,9138.0,8907.5
183,9238.0,8946.0,9019.5,9290.5,8918.5,9163.5,8862.5,8749.5,9255.5,9035.5
184,9242.0,8983.5,9079.0,9151.5,8796.0,9204.5,9004.0,8665.5,9130.5,8895.5
185,9221.0,8912.0,8873.0,9111.5,8824.0,9100.5,8973.5,8687.5,9004.5,8954.0
186,9148.5,8918.5,9000.0,9125.5,8792.5,9186.5,8811.5,8609.5,9109.0,8943.0
187,9097.0,8811.5,9014.5,9151.5,8870.0,9036.0,8754.0,8684.0,8993.5,8952.0
188,9202.0,8932.5,9158.5,9215.5,8845.5,9093.5,8793.0,8566.5,9029.5,8985.5
