,PGE_valley,SCE
131,40729.138616080134,4973.423643010345
132,44693.94124332625,4289.684195645721
133,34597.95611073942,6471.775436250347
134,34877.74904914849,10538.05836396082
135,42273.116058252686,11043.768205849683
136,46967.12095509176,11860.457126435536
137,39404.24062305118,9400.718668723155
138,39314.11066624199,4220.661017136226
139,43015.61922473334,10762.387217921008
140,44021.32365212629,6392.579624257265
141,39893.19090648779,10906.733658561234
142,47388.04678127101,5964.221100676103
143,38990.063232631874,7442.262272562799
144,45260.281175325465,5519.659357270055
145,41313.12198011529,9162.794361902586
146,42901.10534344481,8937.664365589346
147,39488.34847388083,4932.041982617458
148,38815.69890370659,10719.23934667503
149,39970.01172090201,6921.944052957646
150,42142.26907017017,9465.716493771666
151,39879.09234198814,8138.7213667326505
152,29252.56052633803,11021.346968160338
153,26349.582875694046,8503.892444751227
154,29985.247654758314,6522.986851129221
155,29417.274001569836,9352.361704938343
156,37918.86643794211,13906.123947450638
157,33890.930813873536,6093.54761479915
158,30260.037434100195,10595.87652550819
159,33647.32887152573,10108.441352090389
160,34343.84791167023,12647.364941964785
161,36416.839229399935,12841.087195158829
162,33243.595678423706,10068.608679054405
163,28956.189559437906,15189.86777865712
164,34424.10561786732,16648.103092085854
165,30850.987646984646,17048.186871470058
166,27917.083462680737,11716.763447298044
167,23292.400362176966,10712.348079436479
168,31947.4737273372,9848.375225373788
169,26253.846760487104,11726.129830691118
170,29110.786807222237,16254.273187635905
171,27763.09499045198,16255.031258920573
172,22251.271545821153,17563.34249337277
173,29325.097667200156,15896.782428699062
174,29793.354842417575,16286.496956325132
175,18116.38950593542,18164.64531958293
176,24671.15805419127,15977.28765877308
177,25634.943605459397,15719.654376946284
178,26680.699998825963,17446.261907859433
179,20937.32544695865,15543.256987266515
180,20809.379986268985,20541.1735070754
181,28831.403616793585,17260.023645210193
182,17539.19313362919,17540.40557172118
183,21561.974627290412,22463.635280026574
184,22018.183112016835,18921.153860262366
185,21575.680707518062,18764.462000941763
186,26915.648298103195,17021.12182569968
187,11497.055495108369,16034.352770739348
188,17493.322529923877,16560.016834078615
189,19802.551802084803,13603.328924213838
190,17363.134890806323,18424.280890477316
191,13874.200333748144,21393.174558568935
192,13700.794634294449,16686.507163118196
193,19974.4548772649,14169.3913974436
194,18304.086344438725,16564.55607585731
195,14813.43184000274,20031.613386607532
196,13409.78982724484,19020.80968562861
197,12786.044744654919,18502.877217461177
198,9801.253599607207,22103.985245202355
199,16155.983525641583,19148.12382617833
200,17558.463722162873,18050.990351406264
201,18122.07783187739,18687.539376599605
202,13980.978134464029,13338.458013490363
203,8910.810087668899,19410.704551785308
204,12449.764609683938,20825.08076093428
205,14319.219584185914,15923.80909886409
206,10090.165343278477,16886.092205813165
207,12047.975482934882,16169.706527604045
208,12631.42817111421,17910.00773175009
209,8486.604085695577,20063.815019186673
210,6970.129471056389,12074.518480436771
211,7161.142914462551,21135.937773187223
212,5442.418403939697,14899.574349633063
